Business_Unit_Desc,Energy_Description,electricity_kWh,Month,Monthly_Air_Temp,Monthly_Cooling_Degree_Days,Monthly_Heating_Degree_Days
"Calgary Fire Department",Electricity,671,1,-6.867741935,0,770.9
"Calgary Fire Department",Electricity,500,2,-12.4,0,851.2
"Calgary Fire Department",Electricity,498,3,-5.806451613,0,738
"Calgary Fire Department",Electricity,393,4,0.976666667,0,510.7
"Calgary Fire Department",Electricity,358,5,14.12258065,11.2,131.4
"Calgary Fire Department",Electricity,246,6,14.93666667,6.8,98.7
"Calgary Fire Department",Electricity,395,7,17.14516129,26.4,52.9
"Calgary Fire Department",Electricity,410,8,16.65483871,33.8,75.5
"Calgary Fire Department",Electricity,392,9,6.756666667,0,337.3
"Calgary Fire Department",Electricity,518,10,3.593548387,0,446.6
"Calgary Fire Department",Electricity,615,11,-0.656666667,0,559.7
"Calgary Fire Department",Electricity,623,12,-3.516129032,0,667
"Calgary Parking Auth",Electricity,888,1,-6.867741935,0,770.9
"Calgary Parking Auth",Electricity,733,2,-12.4,0,851.2
"Calgary Parking Auth",Electricity,720,3,-5.806451613,0,738
"Calgary Parking Auth",Electricity,41,4,0.976666667,0,510.7
"Calgary Parking Auth",Electricity,925,5,14.12258065,11.2,131.4
"Calgary Parking Auth",Electricity,1053,6,14.93666667,6.8,98.7
"Calgary Parking Auth",Electricity,1042,7,17.14516129,26.4,52.9
"Calgary Parking Auth",Electricity,1013,8,16.65483871,33.8,75.5
"Calgary Parking Auth",Electricity,1185,9,6.756666667,0,337.3
"Calgary Parking Auth",Electricity,1340,10,3.593548387,0,446.6
"Calgary Parking Auth",Electricity,1488,11,-0.656666667,0,559.7
"Calgary Parking Auth",Electricity,1688,12,-3.516129032,0,667
"Calgary Transit",Electricity,309,1,-6.867741935,0,770.9
"Calgary Transit",Electricity,262,2,-12.4,0,851.2
"Calgary Transit",Electricity,240,3,-5.806451613,0,738
"Calgary Transit",Electricity,196,4,0.976666667,0,510.7
"Calgary Transit",Electricity,168,5,14.12258065,11.2,131.4
"Calgary Transit",Electricity,174,6,14.93666667,6.8,98.7
"Calgary Transit",Electricity,173,7,17.14516129,26.4,52.9
"Calgary Transit",Electricity,192,8,16.65483871,33.8,75.5
"Calgary Transit",Electricity,226,9,6.756666667,0,337.3
"Calgary Transit",Electricity,252,10,3.593548387,0,446.6
"Calgary Transit",Electricity,277,11,-0.656666667,0,559.7
"Calgary Transit",Electricity,305,12,-3.516129032,0,667
"CPS - Bureaus",Electricity,20756,1,-6.867741935,0,770.9
"CPS - Bureaus",Electricity,18489,2,-12.4,0,851.2
"CPS - Bureaus",Electricity,17674,3,-5.806451613,0,738
"CPS - Bureaus",Electricity,15574,4,0.976666667,0,510.7
"CPS - Bureaus",Electricity,15544,5,14.12258065,11.2,131.4
"CPS - Bureaus",Electricity,16014,6,14.93666667,6.8,98.7
"CPS - Bureaus",Electricity,16835,7,17.14516129,26.4,52.9
"CPS - Bureaus",Electricity,16951,8,16.65483871,33.8,75.5
"CPS - Bureaus",Electricity,16088,9,6.756666667,0,337.3
"CPS - Bureaus",Electricity,17207,10,3.593548387,0,446.6
"CPS - Bureaus",Electricity,17823,11,-0.656666667,0,559.7
"CPS - Bureaus",Electricity,19716,12,-3.516129032,0,667
"Downtown Strategy",Electricity,26888,1,-6.867741935,0,770.9
"Downtown Strategy",Electricity,25832,2,-12.4,0,851.2
"Downtown Strategy",Electricity,24776,3,-5.806451613,0,738
"Downtown Strategy",Electricity,24075,4,0.976666667,0,510.7
"Downtown Strategy",Electricity,25434,5,14.12258065,11.2,131.4
"Downtown Strategy",Electricity,28936,6,14.93666667,6.8,98.7
"Downtown Strategy",Electricity,29510,7,17.14516129,26.4,52.9
"Downtown Strategy",Electricity,27877,8,16.65483871,33.8,75.5
"Downtown Strategy",Electricity,26646,9,6.756666667,0,337.3
"Downtown Strategy",Electricity,24808,10,3.593548387,0,446.6
"Downtown Strategy",Electricity,26142,11,-0.656666667,0,559.7
"Downtown Strategy",Electricity,28919,12,-3.516129032,0,667
"Facility Management",Electricity,667,1,-6.867741935,0,770.9
"Facility Management",Electricity,380,2,-12.4,0,851.2
"Facility Management",Electricity,364,3,-5.806451613,0,738
"Facility Management",Electricity,332,4,0.976666667,0,510.7
"Facility Management",Electricity,504,5,14.12258065,11.2,131.4
"Facility Management",Electricity,587,6,14.93666667,6.8,98.7
"Facility Management",Electricity,518,7,17.14516129,26.4,52.9
"Facility Management",Electricity,505,8,16.65483871,33.8,75.5
"Facility Management",Electricity,440,9,6.756666667,0,337.3
"Facility Management",Electricity,711,10,3.593548387,0,446.6
"Facility Management",Electricity,583,11,-0.656666667,0,559.7
"Facility Management",Electricity,598,12,-3.516129032,0,667
"Green Line Operations",Electricity,110,1,-6.867741935,0,770.9
"Green Line Operations",Electricity,132,2,-12.4,0,851.2
"Green Line Operations",Electricity,126,3,-5.806451613,0,738
"Green Line Operations",Electricity,34,4,0.976666667,0,510.7
"Green Line Operations",Electricity,865,5,14.12258065,11.2,131.4
"Green Line Operations",Electricity,984,6,14.93666667,6.8,98.7
"Green Line Operations",Electricity,1003,7,17.14516129,26.4,52.9
"Green Line Operations",Electricity,551,8,16.65483871,33.8,75.5
"Green Line Operations",Electricity,526,9,6.756666667,0,337.3
"Green Line Operations",Electricity,490,10,3.593548387,0,446.6
"Green Line Operations",Electricity,516,11,-0.656666667,0,559.7
"Green Line Operations",Electricity,571,12,-3.516129032,0,667
"Information Technology",Electricity,6471,1,-6.867741935,0,770.9
"Information Technology",Electricity,5917,2,-12.4,0,851.2
"Information Technology",Electricity,6584,3,-5.806451613,0,738
"Information Technology",Electricity,6849,4,0.976666667,0,510.7
"Information Technology",Electricity,6927,5,14.12258065,11.2,131.4
"Information Technology",Electricity,7815,6,14.93666667,6.8,98.7
"Information Technology",Electricity,7962,7,17.14516129,26.4,52.9
"Information Technology",Electricity,7395,8,16.65483871,33.8,75.5
"Information Technology",Electricity,7196,9,6.756666667,0,337.3
"Information Technology",Electricity,6716,10,3.593548387,0,446.6
"Information Technology",Electricity,7016,11,-0.656666667,0,559.7
"Information Technology",Electricity,6255,12,-3.516129032,0,667
Mobility,Electricity,0,1,-6.867741935,0,770.9
Mobility,Electricity,0,2,-12.4,0,851.2
Mobility,Electricity,0,3,-5.806451613,0,738
Mobility,Electricity,2441,4,0.976666667,0,510.7
Mobility,Electricity,2594,5,14.12258065,11.2,131.4
Mobility,Electricity,2951,6,14.93666667,6.8,98.7
Mobility,Electricity,500,7,17.14516129,26.4,52.9
Mobility,Electricity,8,8,16.65483871,33.8,75.5
Mobility,Electricity,6,9,6.756666667,0,337.3
Mobility,Electricity,9,10,3.593548387,0,446.6
Mobility,Electricity,34,11,-0.656666667,0,559.7
Mobility,Electricity,52,12,-3.516129032,0,667
"Parks and Open Spaces-PK",Electricity,952,1,-6.867741935,0,770.9
"Parks and Open Spaces-PK",Electricity,915,2,-12.4,0,851.2
"Parks and Open Spaces-PK",Electricity,768,3,-5.806451613,0,738
"Parks and Open Spaces-PK",Electricity,619,4,0.976666667,0,510.7
"Parks and Open Spaces-PK",Electricity,517,5,14.12258065,11.2,131.4
"Parks and Open Spaces-PK",Electricity,463,6,14.93666667,6.8,98.7
"Parks and Open Spaces-PK",Electricity,460,7,17.14516129,26.4,52.9
"Parks and Open Spaces-PK",Electricity,435,8,16.65483871,33.8,75.5
"Parks and Open Spaces-PK",Electricity,416,9,6.756666667,0,337.3
"Parks and Open Spaces-PK",Electricity,387,10,3.593548387,0,446.6
"Parks and Open Spaces-PK",Electricity,408,11,-0.656666667,0,559.7
"Parks and Open Spaces-PK",Electricity,451,12,-3.516129032,0,667
"Public Spaces Delivery",Electricity,5642,1,-6.867741935,0,770.9
"Public Spaces Delivery",Electricity,5996,2,-12.4,0,851.2
"Public Spaces Delivery",Electricity,3018,3,-5.806451613,0,738
"Public Spaces Delivery",Electricity,2300,4,0.976666667,0,510.7
"Public Spaces Delivery",Electricity,1925,5,14.12258065,11.2,131.4
"Public Spaces Delivery",Electricity,1616,6,14.93666667,6.8,98.7
"Public Spaces Delivery",Electricity,15,7,17.14516129,26.4,52.9
"Public Spaces Delivery",Electricity,88,8,16.65483871,33.8,75.5
"Public Spaces Delivery",Electricity,95,9,6.756666667,0,337.3
"Public Spaces Delivery",Electricity,88,10,3.593548387,0,446.6
"Public Spaces Delivery",Electricity,118,11,-0.656666667,0,559.7
"Public Spaces Delivery",Electricity,116,12,-3.516129032,0,667
"Real Estate and Dev Serv",Electricity,557,1,-6.867741935,0,770.9
"Real Estate and Dev Serv",Electricity,695,2,-12.4,0,851.2
"Real Estate and Dev Serv",Electricity,645,3,-5.806451613,0,738
"Real Estate and Dev Serv",Electricity,531,4,0.976666667,0,510.7
"Real Estate and Dev Serv",Electricity,449,5,14.12258065,11.2,131.4
"Real Estate and Dev Serv",Electricity,2792,6,14.93666667,6.8,98.7
"Real Estate and Dev Serv",Electricity,1612,7,17.14516129,26.4,52.9
"Real Estate and Dev Serv",Electricity,1424,8,16.65483871,33.8,75.5
"Real Estate and Dev Serv",Electricity,171,9,6.756666667,0,337.3
"Real Estate and Dev Serv",Electricity,183,10,3.593548387,0,446.6
"Real Estate and Dev Serv",Electricity,240,11,-0.656666667,0,559.7
"Real Estate and Dev Serv",Electricity,815,12,-3.516129032,0,667
"Utilities Delivery",Electricity,50,1,-6.867741935,0,770.9
"Utilities Delivery",Electricity,47,2,-12.4,0,851.2
"Utilities Delivery",Electricity,50,3,-5.806451613,0,738
"Utilities Delivery",Electricity,49,4,0.976666667,0,510.7
"Utilities Delivery",Electricity,51,5,14.12258065,11.2,131.4
"Utilities Delivery",Electricity,56,6,14.93666667,6.8,98.7
"Utilities Delivery",Electricity,58,7,17.14516129,26.4,52.9
"Utilities Delivery",Electricity,57,8,16.65483871,33.8,75.5
"Utilities Delivery",Electricity,57,9,6.756666667,0,337.3
"Utilities Delivery",Electricity,52,10,3.593548387,0,446.6
"Utilities Delivery",Electricity,48,11,-0.656666667,0,559.7
"Utilities Delivery",Electricity,46,12,-3.516129032,0,667
"Waste and Recycling Srvcs",Electricity,95,1,-6.867741935,0,770.9
"Waste and Recycling Srvcs",Electricity,100,2,-12.4,0,851.2
"Waste and Recycling Srvcs",Electricity,112,3,-5.806451613,0,738
"Waste and Recycling Srvcs",Electricity,94,4,0.976666667,0,510.7
"Waste and Recycling Srvcs",Electricity,101,5,14.12258065,11.2,131.4
"Waste and Recycling Srvcs",Electricity,107,6,14.93666667,6.8,98.7
"Waste and Recycling Srvcs",Electricity,114,7,17.14516129,26.4,52.9
"Waste and Recycling Srvcs",Electricity,108,8,16.65483871,33.8,75.5
"Waste and Recycling Srvcs",Electricity,107,9,6.756666667,0,337.3
"Waste and Recycling Srvcs",Electricity,102,10,3.593548387,0,446.6
"Waste and Recycling Srvcs",Electricity,104,11,-0.656666667,0,559.7
"Waste and Recycling Srvcs",Electricity,106,12,-3.516129032,0,667
"Water Services",Electricity,134,1,-6.867741935,0,770.9
"Water Services",Electricity,148,2,-12.4,0,851.2
"Water Services",Electricity,64,3,-5.806451613,0,738
"Water Services",Electricity,42,4,0.976666667,0,510.7
"Water Services",Electricity,10,5,14.12258065,11.2,131.4
"Water Services",Electricity,7,6,14.93666667,6.8,98.7
"Water Services",Electricity,1,7,17.14516129,26.4,52.9
"Water Services",Electricity,0,8,16.65483871,33.8,75.5
"Water Services",Electricity,7,9,6.756666667,0,337.3
"Water Services",Electricity,49,10,3.593548387,0,446.6
"Water Services",Electricity,145,11,-0.656666667,0,559.7
"Water Services",Electricity,160,12,-3.516129032,0,667
